141,B.L S/H CAPAQ IRI BALIQ KG,10.35₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
142,B.L S/H CAPAQ ORTA BALIQ KG,8.90₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
143,B.L S/H CAPAQ SECME BALIQ KG,12.50₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
144,B.L S/H KILKE BALIQ KG,4.75₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
145,B.L S/H SHAHMAYI (SHAMAYKA) BALIQ KG,15.10₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
146,B.L S/H SKUMBRIYA DALGA BALIQ KG,14.20₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
147,B.L S/H SKUMBRIYA DILIM DALGA VAKUUM BALIQ KG,19.95₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
148,B.L S/H SKUMBRIYA DILIM VAKUUM BALIQ KG,13.90₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
149,B.L S/H SKUMBRIYA FILESI BALIQ KG,10.60₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
150,B.L S/H SKUMBRIYA KICIK BALIQ KG,11.25₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
151,B.L S/H SKUMBRIYA ORTA BALIQ KG,11.90₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
152,B.L S/H SKUMBRIYA VAKUUM SECME BALIQ KG,13.10₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
153,B.L S/H SYOMQA FILE BALIQ MEZZE MARIN KG,53.90₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
154,B.L S/H SYOMQA XRES BALIQ KG,11.20₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
155,B.L S/H XESEM BUTOV BALIQ KG,13.00₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
156,B.L S/H XESEM BUTOV IRI BALIQ KG,13.45₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
157,B.L S/H XESEM SECME BALIQ KG,14.20₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
158,B.L T/D NERKA BALIQ KG,6.30₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
159,B.L T/D SYOMQA FILE BALIQ CITY FOOD KG,46.60₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
160,B.L T/D SYOMQA FILE BALIQ MEZZE MARIN KG,46.60₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
161,B.L T/D TELAPIYA FILESI BALIQ KG,12.50₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
162,B.L T/O FOREL SARI BALIQ KG,15.50₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
163,BALTIYSKIY BEREQ 100GR BALIQ FOREL FILE-LOMTIKI SL,9.99₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
164,BALTIYSKIY BEREQ 100GR SYOMQA SLABOSOL.FILE-LOMTIK,11.39₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
165,BALTIYSKIY BEREQ 200GR KOKTEYL IZ MOREPROD.V MASLE,6.49₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
166,BALTIYSKIY BEREQ 200GR SYOMQA SLABOSOL.FILE-KUSOK,20.99₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
167,BALTIYSKIY BEREQ 250GR SALAT IZ MOR.KAPUSTI NATUR.,2.79₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
168,BALTIYSKIY BEREQ 400GR SELD FILE OLIVKOVAYA V MAS.,9.29₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
169,BALTIYSKIY BEREQ 400GR SELD FILE-KUSOCKI OLIVKOV.,8.49₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
170,PINAR 400GR CITIR BALIK,12.80₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
171,PINAR 650GR KILKA TEMIZLENMIS PAKET,16.50₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
172,PUTINA 240GR DENEVARI QIZIL BALIQ KURUSU KETA S/Q,85.50₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
173,PUTINA 90GR DENEVARI QIZIL BALIQ KURUSU S/Q,30.80₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
174,QLAVPRODUKT 460GR IKRA KABACKOVAYA S/Q,2.70₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
175,RUSSKOYE MORE 130GR IKRA MINTAYA PROB.SOL.,5.29₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
176,RUSSKOYE MORE 200GR SELD FILE-KUSOCKI V MASLE PL/Q,3.89₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
177,VICI 100GR KRABOVIE PALOCKI,1.90₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
178,VICI 100GR KRABOVIE PALOCKI,1.75₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
179,VICI 150GR MORSKAYA KAPUSTA V MARINADE,1.80₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
180,VICI 150GR SELD FILE KUSOCKI TRADICIONNAYA,3.12₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
181,VICI 150GR SELD FILE KUSOCKI V KARTOSKE,3.12₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
182,VICI 1KG KREVETKA BASLI KOROL.50/70,34.00₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
183,VICI 1KG KREVETKA BISMIS BASLI 30/40 KOROLEVSKIYE,34.00₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
184,VICI 1KG KREVETKA BISMIS TEM-NMIS QUYR.31/40 KOROL,48.10₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
185,VICI 1KG KRIVETKI KOROL.S XVOSTIKOM,39.30₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
186,VICI 200GR KRABOK KRABOVIE PALOCKI,1.85₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
187,VICI 200GR KRABOVIE PALOCKI,3.70₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
188,VICI 200GR KREVETKI OCIS. KOPCENIYE PL/Q,7.85₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
189,VICI 200GR MIDII MARINOV. V MASLE PL/Q,5.10₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
190,VICI 200GR MIDII OTVARENNIYE V RASSOLE PL/Q,5.10₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
191,VICI 200GR MORSKOY KOKTEYL IZ MOREPR.PL/Q,6.85₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
